id,course_honour_name,tuition_fees,credit_hours,duration,course_qualification,course_website,ranking_qs_no_start_by_subject,ranking_qs_no_end_by_subject,ranking_qs_year_by_subject,ranking_the_no_start_by_subject,ranking_the_no_end_by_subject,ranking_the_year_by_subject,uni_name,uni_address,campus,website,uni_type,contact_no,email,ranking_qs_no_start,ranking_qs_no_end,ranking_qs_year,ranking_the_no_start,ranking_the_no_end,ranking_the_year,state_name,area_name,postcode,distance
16,Bachelor of Drama,9000.00,126.0,3.00,1,https://creativearts.um.edu.my/bachelor-of-drama,51,100.0,2025,251,300,2025,Universiti Malaya,"Universiti Malaya, Jalan Universiti",Main Campus,https://www.um.edu.my/,Public,+603-7967 3502/ 3278,skp_aasc@um.edu.my,58,,2026,251,300,2025,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,50603,22.13
17,Bachelor of Music,9000.00,127.0,3.00,1,https://creativearts.um.edu.my/bachelor-of-music,51,100.0,2025,251,300,2025,Universiti Malaya,"Universiti Malaya, Jalan Universiti",Main Campus,https://www.um.edu.my/,Public,+603-7967 3502/ 3278,skp_aasc@um.edu.my,58,,2026,251,300,2025,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,50603,22.13
18,Bachelor of Dance,9000.00,127.0,3.00,1,https://creativearts.um.edu.my/bachelor-of-dance,51,100.0,2025,251,300,2025,Universiti Malaya,"Universiti Malaya, Jalan Universiti",Main Campus,https://www.um.edu.my/,Public,+603-7967 3502/ 3278,skp_aasc@um.edu.my,58,,2026,251,300,2025,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,50603,22.13
19,Bachelor of Performing Arts,9000.00,127.0,3.00,1,https://creativearts.um.edu.my/bachelor-of-performing-arts,51,100.0,2025,251,300,2025,Universiti Malaya,"Universiti Malaya, Jalan Universiti",Main Campus,https://www.um.edu.my/,Public,+603-7967 3502/ 3278,skp_aasc@um.edu.my,58,,2026,251,300,2025,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,50603,22.13
25,Bachelor of Arts Southeast Asian Studies,8400.00,126.0,4.00,1,https://fass.um.edu.my/bachelor-programme-of-arts-southeast-asian-studies,201,250.0,2025,251,300,2025,Universiti Malaya,"Universiti Malaya, Jalan Universiti",Main Campus,https://www.um.edu.my/,Public,+603-7967 3502/ 3278,skp_aasc@um.edu.my,58,,2026,251,300,2025,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,50603,22.13
33,Bachelor of Civil Engineering with Honours,10160.00,,4.00,1,https://admission.usm.my/undergraduate/undergraduate-malaysian?view=article&id=638:us6526002-sarjana-muda-kejuruteraan-awam-dengan-kepujian&catid=65,151,200.0,2025,301,400,2025,Universiti Sains Malaysia,Universiti Sains Malaysia Engineering Campus,Engineering Campus,https://www.eng.usm.my/index.php/ms/,Public,+604-599 5999,pro.eng@usm.my/admissions@usm.my,134,,2026,401,500,2025,Pulau Pinang,Nibong Tebal,14300,326.8
35,Bachelor of Mineral Resources Engineering with Honours,10160.00,135.0,4.00,1,https://admission.usm.my/undergraduate/undergraduate-malaysian?view=article&id=635:us6524002-sarjana-muda-kejuruteraan-sumber-mineral-dengan-kepujian&catid=65,177,,2025,301,400,2025,Universiti Sains Malaysia,Universiti Sains Malaysia Engineering Campus,Engineering Campus,https://www.eng.usm.my/index.php/ms/,Public,+604-599 5999,pro.eng@usm.my/admissions@usm.my,134,,2026,401,500,2025,Pulau Pinang,Nibong Tebal,14300,326.8
36,Bachelor of Materials Engineering with Honours,10160.00,135.0,4.00,1,https://admission.usm.my/undergraduate/undergraduate-malaysian?view=article&id=634:us6527001-sarjana-muda-kejuruteraan-bahan-dengan-kepujian&catid=65,177,,2025,301,400,2025,Universiti Sains Malaysia,Universiti Sains Malaysia Engineering Campus,Engineering Campus,https://www.eng.usm.my/index.php/ms/,Public,+604-599 5999,pro.eng@usm.my/admissions@usm.my,134,,2026,401,500,2025,Pulau Pinang,Nibong Tebal,14300,326.8
37,Bachelor of Polymer Engineering with Honours,10160.00,,4.00,1,https://admission.usm.my/undergraduate/undergraduate-malaysian?view=article&id=629:us6524003-sarjana-muda-kejuruteraan-polimer-dengan-kepujian&catid=65,177,,2025,301,400,2025,Universiti Sains Malaysia,Universiti Sains Malaysia Engineering Campus,Engineering Campus,https://www.eng.usm.my/index.php/ms/,Public,+604-599 5999,pro.eng@usm.my/admissions@usm.my,134,,2026,401,500,2025,Pulau Pinang,Nibong Tebal,14300,326.8
38,Bachelor of Computer Science (Computing Infrastructure) with Honours,10400.00,132.0,4.00,1,https://admission.usm.my/undergraduate/undergraduate-malaysian?view=article&id=581:us6481001-sarjana-muda-sains-komputer-kepujian-2&catid=63,165,,2025,201,250,2025,Universiti Sains Malaysia,Universiti Sains Malaysia,Main Campus,https://www.usm.my/ms/,Public,+604-653 3196,admissions@usm.my,134,,2026,401,500,2025,Pulau Pinang,USM Pulau Pinang,11800,366.79
40,Bachelor in Computer Science (Intelligent Computing) with Honours,10400.00,132.0,4.00,1,https://admission.usm.my/undergraduate/undergraduate-malaysian?view=article&id=580:us6481004-bachelor-of-computer-science-intelligent-computing-with-honours&catid=63,165,,2025,201,250,2025,Universiti Sains Malaysia,Universiti Sains Malaysia,Main Campus,https://www.usm.my/ms/,Public,+604-653 3196,admissions@usm.my,134,,2026,401,500,2025,Pulau Pinang,USM Pulau Pinang,11800,366.79
